job_title,paylab_category,min_salary_lkr,avg_salary_lkr,max_salary_lkr,description,source
Graphic Designer,Marketing Advertising PR,38766,75192,111618,Designing advertising and promotional materials based on client requirements.,paylab.com
Telemarketer,Commerce,34939,75143,115347,"Presenting portfolios of products and services to customers via phone. Active contacting of clients via phone. Acquiring new customers, building and maintaining existing business relationships.",paylab.com
Account Executive,Marketing Advertising PR,36634,75140,113646,Providing comprehensive care for assigned clients. Attending personal meetings in order to identify clients' wishes and requirements. Presenting the advertising agency and the services it offers.,paylab.com
Education coordinator,Education Science Research,54088,74809,95530,"Develop and implement educational programs and curricula that meet the needs of diverse learners. Coordinate and facilitate training sessions, workshops, and seminars for educators and staff. Collaborate with educational institutions, organizations, and stakeholders to enhance learning opportunities.",paylab.com
Sports Coach,Education Science Research,43776,74788,105801,"Determining the type, duration and intensity of training depending on the expected effect on the team/wards. Compiling lists and/or formations of players entering the game (for team sports). Analysing the performances of opponents in order to identify their weaknesses in games and tactics and to use them for the benefit of its team/ward.",paylab.com
Sound Engineer,Arts Culture,44782,74701,104620,"Installing sound equipment at cultural, social, television, radio and other events. Operating in recording and dubbing studios. Plugging speakers, amplifiers, microphones, equalisers, personal audio systems, musical instruments and other sound equipment.",paylab.com
Film Editor,Journalism Printing Arts Media,41521,74587,107654,Collecting shots and soundtracks from the recording media of the movie cameras. Digital editing of files and their segmenting into smaller logical units (so called sequences). Preparing a rough edit.,paylab.com
Construction worker,Construction Real Estate,33410,74415,115420,"Assisting in the construction and maintenance of buildings and infrastructure. Performing tasks such as digging, loading, and unloading materials. Operating hand and power tools safely and effectively.",paylab.com
Optometrist,Medicine Social Care,44401,74351,104301,"Communicating with clients in order to become familiar with their health condition, previous eye problems, their profession, etc. Operating ophthalmic instruments. Examining of clients’ eyesight, identifying the power of dioptres.",paylab.com
Technician,Electrical Power Engineering,33856,74343,114831,"Putting machines, devices, and equipment into operation. Analysing failures with the aim to identify their original cause. Repairing machines, devices, and equipment by replacing the defective components by new ones or by software adjustments.",paylab.com
Carpenter,Construction Real Estate,37090,74314,111539,"Fabricating, altering, repairing, building and assembling the formwork, foundations, lintels, pillars and ceilings. Cutting and shaping wood parts. Establishment of structures and carpentry constructions according to planimetric and as-built drawings.",paylab.com
Lector,Education Science Research,54695,74186,93677,"Transferring theoretical and practical knowledge to the participants of courses/trainings. Providing teaching aid, materials and stationery to the participants of courses/trainings. Practicing acquired knowledge through practical demonstrations, simulated short scenes etc.",paylab.com
Welder,Mechanical Engineering,48233,74146,100059,"Welding metals, plastics, and polymers pursuant to the technical documentation. Defining suitable methods for welding and work procedures. Using welding tools and instruments, responsibility for proper settings and use.",paylab.com
Planning assistant,Construction Real Estate,33606,74050,114494,"Assisting in the development and implementation of project plans and schedules. Coordinating with project managers and team members to gather and analyze relevant data. Supporting the preparation of project documentation, including reports and presentations.",paylab.com
Electrical Engineering Technician,Electrical Power Engineering,48751,73600,98449,"Operating electrical machines, instruments, devices and electricity producing facilities. Installing, maintaining and repairing electrical machinery, instruments and devices, external and internal electrical wiring, security, communication and telecommunication equipment, transmitters, receivers, etc. Installing distribution infrastructure for building hardware.",paylab.com
"Machine Operator, Machinist",Construction Real Estate,35192,73316,111440,Operating and maintaining various types of machinery used in construction and manufacturing processes. Setting up machines for production runs and ensuring they are functioning correctly. Monitoring machine operations to ensure quality standards are met and making adjustments as necessary.,paylab.com
Customer service analyst,Customer Support,49670,73176,96683,"Analyzing customer service data to identify trends, patterns, and areas for improvement. Monitoring and evaluating customer interactions to ensure quality and adherence to service standards. Collaborating with cross-functional teams to develop strategies that enhance customer satisfaction and loyalty.",paylab.com
Power-Generating Machinery Operator,Electrical Power Engineering,47618,73145,98673,"Monitoring and evaluating the parameters of the power machine operation in terms of performance, security, economy, ecology, fire protection principles etc. Ensuring start-ups, shutdowns, pre-manipulations and tests of machinery and equipment. Preventing disrepairs of machines by an early intervention to the run of equipment.",paylab.com
Copywriter,Marketing Advertising PR,35087,72978,110869,"Creating advertising texts, slogans, scripts, radio jingles, and the main ideas of advertising campaigns. Attending the brainstorming meetings and discussions. Providing linguistic editing of written texts.",paylab.com
Social media specialist,Marketing Advertising PR,35748,72786,109825,"managing social networks - Facebook, Twitter, Google+, Instagram and other monitoring discussions, contributions, responding to questions creating and posting of contributions, bloggs",paylab.com
Mainentenance worker,Construction Real Estate,33648,72716,111784,Performing routine maintenance and repairs on buildings and facilities. Conducting inspections to identify maintenance issues and ensure compliance with safety regulations. Responding promptly to maintenance requests from staff and management.,paylab.com
Photographer,Arts Culture,38398,72692,106987,"Photographing people, animals, objects, landscapes etc. Using analogue and digital cameras, lenses, lighting equipment, filters, conversion lenses, etc. Instructing people during photo shoots.",paylab.com
TV/Film Production Assistant,Journalism Printing Arts Media,42267,72537,102808,Assisting in the preparation and organization of film and television productions. Coordinating schedules and logistics for cast and crew members. Supporting the production team in various tasks including set preparation and equipment setup.,paylab.com
Distribution Clerk,Commerce,34660,72452,110245,Drawing up marketing schedules. Ensuring contact with customers and keeping their records. Monitoring marketing costs and prices.,paylab.com
Biologist,Education Science Research,43193,72420,101648,"Examining humans, animals, plants, microorganisms and other living organisms and their relationship to the environment in which they occur. Performing research and investigative activities in the form of experiments in scientific laboratories as well as in the field. Investigating the causes of disease.",paylab.com
Machine Fitter,Mechanical Engineering,46842,72179,97517,"Using technical documents. Processing sketches to complement the technological process of locksmithing. Manual processing of machine components by filing, sawing, cutting, evening, bending, drilling and reaming.",paylab.com
Journalist,Journalism Printing Arts Media,42382,72117,101852,"Collecting, sorting and verifying the information. Processing interesting topics for readers, viewers and listeners. Writing and preparing reports, reportages, commentaries, reviews, interviews, glosses, feuilletons etc.",paylab.com
Assistant of Auditor,Economy Finance Accountancy,49185,72111,95037,Performing economic activities (with the exception of signing a written report on the results of provided audit services) under the direction of a certified auditor. Checking financial statements of customers. Managing audit documentation.,paylab.com
Electrical Fitter,Electrical Power Engineering,48179,72008,95838,"Completing assembly and maintenance works of electrical equipment, low, high, and very high voltage lines, electrical lightning etc. * Diagnosing outages and evaluating diagnostic measurements. Performing functional tests of equipment after the preventive maintenance or repair. Performing preventive maintenance of assigned equipment.",paylab.com
Radiology Assistant,Medicine Social Care,41899,71973,102048,Independent specialised professional work during standard skiagraphic and skiascopic examinations. Assisting with non-standard radiological operations using complex instrumentation. Developing and processing of film material in the darkroom.,paylab.com
Payroll Clerk,Economy Finance Accountancy,33372,71857,110342,"Processing and managing all payroll activities. Completing annuity insurance records, archiving documents and records, and updating payslips. Communicating and preparing documents and reports for Social Insurance Office, health insurers, and supplemental retirement insurance.",paylab.com
Midwife,Medicine Social Care,37890,71830,105771,"Providing care to women during pregnancy, childbirth and postpartum period. Keeping and supporting the optimum health condition of new and expectant mothers. Leading a physiological birth, cooperating with a doctor in case of complications.",paylab.com
Landscape Architect,Construction Real Estate,33479,71491,109503,"Designing and planning landscape projects that enhance the aesthetic and functional value of outdoor spaces. Collaborating with clients to understand their vision, requirements, and budget for landscape designs. Conducting site analyses and assessments to determine the best design solutions based on environmental factors and site conditions.",paylab.com
Customer Support Specialist,Customer Support,48247,71094,93941,"Communication with the client - via telephone, e-mail, chat (also in a foreign language) Giving information Analysing and solving the needs and problems of the client",paylab.com
Marketing Officer,Marketing Advertising PR,36555,70716,104878,"Monitoring the market and activities of competitors. Organising and coordinating support marketing activities, exhibitions etc. Analysing and evaluating the success of marketing activities.",paylab.com
Electrician,Electrical Power Engineering,46724,70437,94150,Reading technical documentation. Proposing the placement of electrical circuits. Cutting openings and channels into the walls and floors.,paylab.com
Fitness Instructor,Education Science Research,51395,70042,88690,Communicating with clients in order to learn about their lifestyle and expectations. Drawing up personal training plans and diet. Illustratively demonstrating the correct execution of exercises.,paylab.com
Storekeeper,Management,38257,69977,101697,"Responsibility for the profitability, level of provided services, cleanliness, efficiency and overall smooth running of the entrusted operations. Ordering goods from suppliers, pricing and entry into the system. Managing, coordinating, motivating and evaluating subordinate staff.",paylab.com
Dancer,Arts Culture,37276,69807,102338,"Performing dance choreographies on your own, with a dance partner or as part of a group. Taking part in dance auditions. Performing stretching and fitness activities to improve physical stamina, flexibility, stability, etc.",paylab.com
Junior Accountant,Economy Finance Accountancy,32274,69615,106956,Self-reliant solution of normal accounting operations in the scope of simple and/or double-entry accounting. Solving more complex accounting operations under the supervision of a more experienced accountant. Processing accounting transactions in an accounting program.,paylab.com
Primary School Teacher,Education Science Research,49766,69572,89378,"Teaching natural sciences and general education subjects. Keeping attendance records and records of the lessons given in the classroom. Explaining new lessons to students, dictation of notes.",paylab.com
Psychologist,Education Science Research,50700,69535,88371,"Conducting individual or paired sessions with clients. Providing psychotherapeutic services and psychological counselling. Performing psycho-diagnostic tests for clients with mental health problems, as well as for driving instructors, drivers of motor vehicles, employees of private security services, etc.",paylab.com
Public Health Administrator,Medicine Social Care,35609,69470,103331,"Performing expert activities in the area of primary prevention, protection, support, and strengthening of public health. Performing state health supervision in the field of environment and working environment, occupational health, the creation and protection of healthy living and working conditions of children and youth, and on workplaces with ionising radiation. Monitoring and statistical analysis of environmental factors and health characteristics.",paylab.com
Special Needs Teacher,Education Science Research,50456,69275,88095,"Participating in drawing up individual education plans for a child and in their upbringing and education. Providing individual special educational, therapeutic and rehabilitation services. Providing consulting services to legal representatives in connection with an individual education plan for a child.",paylab.com
Deputy shop manager,Commerce,29878,68908,107938,Independently managing the store during the absence of the store manager. Leading and motivating colleagues. Supporting and coordinating the personal development of colleagues.,paylab.com
Physiotherapist,Medicine Social Care,33383,68875,104367,"Assessing the health condition of patients, diagnosing the source of troubles. Prescribing specialised exercises depending on the nature of the troubles. Performing rehabilitation procedures and exercises.",paylab.com
Dental Technician,Medicine Social Care,41657,68720,95783,"Fabricating the oral cavity model with the use of plaster casts. Fabricating false teeth and oral cavities made of wax. Fabricating and repairing crowns, bridges, removable complete dentures, and dental braces.",paylab.com
Helpdesk Operator,Customer Support,48411,68684,88958,Connecting telephone calls. Operating telephone and fax lines. Providing information about the services of the company over the telephone.,paylab.com
Ambulance Driver,Medicine Social Care,34215,68651,103087,"Driving ambulances or assisting ambulance drivers in transporting sick, injured, or convalescent persons. Removing and replacing soiled linens and equipment in order to maintain sanitary conditions. Placing patients on stretchers, and loading stretchers into ambulances, usually with assistance from other attendants.",paylab.com
Call Operator,Customer Support,34870,68627,102385,Answering incoming calls and providing information about services to interested customers. Handling customer inquiries and resolving complaints related to services. Conducting outbound calls for service promotion and sales.,paylab.com
Printer,Journalism Printing Arts Media,49501,68584,87668,Producing printed material with the help of printing presses. Preparing and controlling the printing forms. Securing production of a new printing form in case of its bad quality.,paylab.com
Junior Architect,Construction Real Estate,32020,68557,105095,Assisting in the design and planning of architectural projects under the supervision of senior architects. Preparing detailed drawings and specifications using computer-aided design (CAD) software. Conducting site visits to gather information and assess project requirements.,paylab.com
Secondary School Teacher,Education Science Research,46675,68379,90083,"Teaching professional, natural sciences and general education subjects. Keeping attendance records and records of the lessons given in the classroom. Explaining new lessons to students, dictation of notes.",paylab.com
Reporter,Journalism Printing Arts Media,40044,68228,96413,"Researching and gathering information on various topics for news stories. Conducting interviews with individuals to obtain firsthand accounts and insights. Writing clear, accurate, and engaging news articles for print, online, or broadcast media.",paylab.com
Ironworker,Construction Real Estate,30282,68182,106082,Hand-cutting thin-walled sections. Joining parts by screwing. Mounting steel formworks and locksmith products.,paylab.com
Expert Shop Assistant,Commerce,29409,68174,106940,Contacting potential customers with the goal of offering and promoting selected goods and/or services. Customer service and demonstrations of selected products. Providing professional consulting services.,paylab.com
Pharmaceutical Laboratory Technician,Medicine Social Care,40718,67890,95062,"Preparing medications according to standard prescriptions. Weighing substances used in the preparation of medications, without participating in the formulation process according to the physician's instructions. Maintaining laboratory equipment and ensuring cleanliness.",paylab.com
Speech Therapist,Medicine Social Care,36706,67360,98015,"Assessing, diagnosing, and treating speech, language, and communication disorders in individuals of all ages. Developing personalized treatment plans tailored to the specific needs of each client. Conducting therapy sessions to improve speech clarity, language skills, and communication abilities.",paylab.com
Teacher,Education Science Research,46346,67258,88171,"Developing and implementing engaging lesson plans that meet curriculum standards. Delivering high-quality instruction in a classroom setting, fostering a positive learning environment. Assessing student progress and providing constructive feedback to support academic growth.",paylab.com
Lathe operator,Mechanical Engineering,43417,67166,90916,"Reading drawings. Setting up lathes. Processing of semifinished lathe products with an emphasis on maintaining of the desired shape, dimensions and tolerances.",paylab.com
Graphic,Journalism Printing Arts Media,39532,67051,94570,"Manuscript editing from a technological aspect and applying typological rules. Designing and implementing one’s own graphic designs. Assessing typesetting and illustration quality from a professional, technical, and artistic aspect.",paylab.com
Secretary of health department,Medicine Social Care,35982,66924,97867,"Providing administrative support to the health department, ensuring smooth operations and effective communication. Managing schedules, appointments, and meetings for health department officials and staff. Maintaining accurate records of health-related documents, reports, and correspondence.",paylab.com
DTP Operator,Journalism Printing Arts Media,40287,66732,93177,Ensuring quality control throughout the production process. Defining production procedures and initiating work orders. Preparing and reviewing print-ready files for accuracy and completeness.,paylab.com
Organizer,Journalism Printing Arts Media,40112,66655,93198,"Coordinating and organizing events, workshops, and conferences related to journalism, media, and graphic arts. Collaborating with various stakeholders, including artists, journalists, and media professionals to ensure successful project execution. Managing project timelines, budgets, and resources to meet organizational goals.",paylab.com
Betting Clerk,Commerce,28810,66424,104039,Conducting betting transactions and managing cash handling procedures. Assisting customers with placing bets and providing information on betting options. Communicating effectively with clients to enhance customer experience and address inquiries.,paylab.com
Cutter/Grinder/Polisher,Mechanical Engineering,42469,66121,89774,"Reading drawings. Setting up grinding machinery and equipment. Processing of semi-finished products by means of grinding machines and equipment with an emphasis placed on maintaining the desired shape, dimensions and tolerances.",paylab.com
Nurse,Medicine Social Care,32278,65956,99634,Providing assistance during specialised medical procedures and examinations. Measuring and monitoring patient vital signs and functions. Administering injections and prescribed medications to patients.,paylab.com
Nutrition Assistant,Medicine Social Care,35248,65905,96563,"Compiling menus, depending on the type of diet. Cooperating with doctors in the area of diet therapy. Providing counselling and consultations in the area of healthy nutrition.",paylab.com
Radio presenter and announcer,Journalism Printing Arts Media,34364,65728,97093,"Hosting live radio shows and engaging with listeners through phone calls and social media. Researching and preparing content related to current events, music, culture, and community issues. Conducting interviews with guests, including artists, public figures, and experts in various fields.",paylab.com
Milling-Machine Operator,Mechanical Engineering,40559,65605,90651,"Reading drawings. Setting up the cutter. Processing semifinished products using a cutter with an emphasis placed on maintaining the desired shape, dimensions and tolerances.",paylab.com
Archaeologist,Arts Culture,36059,65598,95137,Conducting field research and excavations to uncover artifacts and historical sites. Analyzing and interpreting archaeological findings to contribute to the understanding of past cultures and civilizations. Preparing detailed reports and documentation of excavation processes and findings.,paylab.com
Real estate maintenance,Construction Real Estate,30670,65442,100215,Performing routine maintenance and repairs on residential and commercial properties. Conducting regular inspections to identify maintenance needs and safety hazards. Responding promptly to maintenance requests from tenants or property managers.,paylab.com
Music and Art School Teacher,Education Science Research,47006,65078,83151,"Giving lessons on playing musical instruments, dance, art, literature and drama. Teaching theory, art history etc. Developing the talent and individual creative abilities of pupils.",paylab.com
Driving Instructor,Education Science Research,47165,64947,82729,Preparing and conducting courses to obtain a driving licence. Lecturing on traffic rules in accordance with the relevant legislation and practice. Teaching the theory of construction and basic maintenance of vehicles.,paylab.com
Complaints Department Clerk,Commerce,28386,64596,100806,Handling complaints from customers to their general satisfaction. Issuing goods under complaint to customers. Carrying responsibility for goods returned by customers.,paylab.com
Caseworker,Medicine Social Care,33519,64473,95428,"Providing assistance to clients in the form of social services and consultations. Providing assistance in securing the basic needs of clients, the application and protection of their rights. Performing social work in the field.",paylab.com
Medical assistant,Medicine Social Care,33175,64391,95608,"Assisting healthcare professionals in delivering patient care and support. Preparing and maintaining patient records, ensuring accuracy and confidentiality. Measuring and recording vital signs, such as blood pressure, temperature, and pulse.",paylab.com
Online shop administrator,Commerce,27543,63981,100419,"Overseeing the daily operations of the online shop, ensuring a smooth customer experience. Managing product listings, including adding new products, updating descriptions, and optimizing images. Monitoring inventory levels and coordinating with suppliers to restock items as needed.",paylab.com
Fitter/Assembler,Mechanical Engineering,41232,63901,86571,Reading technical documentation. Mounting machinery units and/or their parts according to technical documentation. Testing the functionality of machine units and/or their parts after assembly.,paylab.com
Master in Vocational Education,Education Science Research,46603,63846,81090,"Recording the attendance of pupils as well as the place and type of work in the work journal. Familiarising students with the topic of the class, explaining the theoretical part of the curriculum. Preparing materials and tools needed for practical demonstrations.",paylab.com
"Window Dresser, Decorator",Arts Culture,34721,63831,92942,"Window-dressing of shops, travel agencies, financial institutions, etc. Moving and arranging objects, creating aesthetic decorations. Placing price tags and labels on the goods.",paylab.com
Archaeologist,Education Science Research,46217,63812,81408,"Organising the museum processing of archaeological findings. Keeping records of the archaeological finding’s fund. Documenting the situation of findings by means of the basic geodetic survey, drawing, photograph and description.",paylab.com
Medical Laboratory Technician,Medicine Social Care,41391,63325,85259,Laboratory testing according to standard analytical methods. Receiving and accepting samples of biological material. Operating diagnostic equipment in the laboratory.,paylab.com
Dispensing Optician,Medicine Social Care,36762,63316,89871,"Providing advice to customers regarding the selection of eyeglasses and sunglasses, contact lenses, frames, lenses, etc. Selling eyeglasses and sunglasses, contact lenses, frames, lenses, cases, hanging braids, detergents, etc. Examining the vision, measuring eye pressure and visual acuity.",paylab.com
Dental Assistant,Medicine Social Care,31044,63207,95370,"Assisting the dentist during therapeutic procedures by preparing the patient, workspace, instruments, and equipment. Ensuring the availability of dental instruments and supplies for efficient treatment. Preparing patients for dental procedures and maintaining a clean and organized working environment.",paylab.com
Youth worker,Medicine Social Care,31625,63146,94668,Supporting and empowering young individuals in personal development and social integration. Developing and implementing engaging programs and activities tailored to the needs of youth. Building trusting relationships with young people to foster a safe and supportive environment.,paylab.com
Cultural Officer,Arts Culture,40171,62099,84027,Organising cultural and sporting events in the village. Booking of individual halls or the whole house of culture. Turning over and accepting the house of culture.,paylab.com
HR Officer,Human Resources,37117,61900,86684,Defining qualification prerequisites for specific work positions. Responsibility for the contents of recruitment advertisements and its communication in the mass media. Holding personal interviews with employment candidates.,paylab.com
Educator/Instructor/Carer,Education Science Research,44225,61546,78868,"Developing the knowledge, skills and habits of children during the time outside of class. Creating educational, leisure and recreational activities of children during the time outside of class. Monitoring the behaviour of pupils in after-school care.",paylab.com
"Make-Up Artist, Wigmaker",Arts Culture,32626,60935,89245,"Applying makeup to film and theatre actors, extras, and other performers in films and theatre plays. Styling men's and women's hair according to the scenario. Creating special effects (ageing, bruises, wounds, etc.) using makeup.",paylab.com
Veterinary Technician,Medicine Social Care,35411,60367,85324,"Assisting or performing treatments, diagnostics and monitoring. Collecting, preparing and running or submitting samples for requested tests. Providing specialised nursing care.",paylab.com
Stagehand,Arts Culture,33259,60185,87112,Assembling and dismantling parts of stage decoration. Loading and unloading stage decorations at tours. Placing scenic decorations on the stage.,paylab.com
Visual merchandiser,Commerce,27628,59477,91327,Developing and implementing visual merchandising strategies to enhance the shopping experience and drive sales. Collaborating with the marketing team to create visually appealing displays that align with brand identity and seasonal promotions. Analyzing customer behavior and sales data to optimize product placement and presentation within the store.,paylab.com
Billing Clerk,Economy Finance Accountancy,39285,59331,79377,"Issuing and processing of invoices, credit and debit notes. Performing retrospective control of invoices and billing documentation. Preparing documentation for invoicing and accounting.",paylab.com
Laboratory Technician,Education Science Research,36464,58871,81278,"Keeping detailed written records of laboratory research, experiments and activities performed. Working in a laboratory performing procedures, maintaining equipment. Assisting lead scientists with their work.",paylab.com
Shelf Stacker/Merchandiser,Commerce,24439,58362,92285,Placing products on shelves and in secondary points of sale locations. Checking the state and quantity of goods on the shelves in the store and in the warehouse. Repositioning and arranging goods at points of sale to increase their marketability.,paylab.com
Preschool Teacher,Education Science Research,38917,58169,77422,"Responsibility for proper emotional development and the safety of the entrusted children of a preschool and school age. Developing creative activities, games, competitions, etc. Assisting children when dressing and combing as well as with hygiene before sleeping and when using the bathroom.",paylab.com
Cashier,Commerce,25784,57921,90058,Recording of shopping items in the cash register. Cancellation of incorrectly charged items. Checking the price and nature of charged items.,paylab.com
Actor,Arts Culture,31608,57507,83406,"Taking part in competitions in order to get a film, theatre or radio part. Studying scripts, learning the assigned text by heart. Practicing plays with the other members of the theatre group.",paylab.com
Seller / Cashier,Commerce,25456,57374,89292,"Assisting customers with product selection and inquiries. Processing sales transactions accurately and efficiently. Handling cash, credit, and debit transactions while ensuring compliance with company policies.",paylab.com
Librarian,Education Science Research,34754,57027,79301,"Selecting and ordering books, magazines, audio and video tapes and other multimedia for the needs of the library. Filing new and returned books on the shelves by genre and in alphabetical order. Providing information and advice to the visitors of the library.",paylab.com
Health Care Assistant,Medicine Social Care,27609,56928,86247,"Providing basic nursing care under the guidance of a nurse. Administering and applying medicines, poultices, wraps, enemas, warm and cold procedures, healing sitz baths, etc. Serving food and drinks to patients, monitoring the state of their body fluids.",paylab.com
Shop Assistant,Commerce,23801,56664,89528,Addressing potential customers with the goal of offering and promoting the sale of merchandise and/or services. Customer service and demonstrating selected products. Collecting cash and non-cash payments.,paylab.com
Junior Graphic Designer,Journalism Printing Arts Media,35593,56427,77261,Creating a wide range of graphic concepts on the basis of detailed assignments from clients. Incorporating clients’ comments into graphic designs. Transferring drawings from paper to electronic form using a scanner.,paylab.com
Masseur,Medicine Social Care,36048,55434,74820,"Performing simple massages focusing on muscles, tendons, ligaments, joints, spine, and neck. Performing sports massage and different types of wraps. Performing reflexology massage and manual lymphatic drainage under the guidance of a certified physical therapist.",paylab.com
Sales coordinator,Commerce,26033,55097,84161,"Co-ordination of the sales team by managing plans, storing important documents and communicating relevant information. Ensuring the adequacy of equipment or materials related to sales. Responding to customers' complaints and providing post-sales support on demand.",paylab.com
Foundry worker,Mechanical Engineering,33970,54556,75143,Operating and maintaining foundry equipment and machinery. Preparing molds and casting materials for metal production. Pouring molten metal into molds and ensuring proper cooling and solidification.,paylab.com
School Canteen Manager,Education Science Research,34161,53816,73471,Managing the operation of a school canteen. Responsibility for observing hygiene and food culture in a school canteen. Managing and supervising the work of subordinate staff.,paylab.com
Ward domestic,Medicine Social Care,39485,53795,68105,"Maintaining cleanliness and hygiene standards within the ward environment. Assisting healthcare staff with the preparation of patient rooms and facilities. Supporting patients with daily living activities, ensuring their comfort and dignity.",paylab.com
Marketing assistant,Marketing Advertising PR,33169,53438,73708,"Assisting in the development and implementation of marketing strategies to promote products and services. Conducting market research to identify trends, customer preferences, and competitive landscape. Supporting the creation of marketing materials, including brochures, newsletters, and digital content.",paylab.com
"Carer, Personal Assistant",Medicine Social Care,39065,53254,67443,"Providing continuous care to sick, helpless and immobile clients. Helping to meet their basic life needs. Heating and serving of food and drinks, feeding clients.",paylab.com
Kinetotherapist,Medicine Social Care,24329,51529,78730,Assessing patients' physical abilities and limitations through various tests and evaluations. Developing individualized treatment plans based on patients' needs and goals. Implementing therapeutic exercises and activities to improve patients' mobility and function.,paylab.com
Caregiver,Medicine Social Care,24317,51403,78489,"Providing compassionate care and support to elderly individuals in their daily activities. Assisting with personal hygiene, grooming, and dressing to ensure comfort and dignity. Helping with mobility and physical exercises to promote health and wellbeing.",paylab.com
Machine Operator,Mechanical Engineering,30769,51028,71287,"Operating and monitoring machinery and equipment to ensure efficient production processes. Conducting routine inspections and maintenance on machines to ensure optimal performance. Setting up machines for production runs, including adjusting settings and calibrating equipment as needed.",paylab.com
School Caretaker,Education Science Research,31484,50744,70004,Performing simple repairs and general maintenance activities as regards school property and premises. Maintaining cleanliness and order on the school premises. Ordering and receiving works from specialised companies.,paylab.com
Assistant Teacher,Education Science Research,35353,50338,65323,"Facilitating the adaptation of children from socially disadvantaged environment to a new learning environment and helping to overcome initial language, cultural, and social barriers. Working alongside class teachers and other educational staff. Helping in the preparation of teaching aids.",paylab.com
Medical Orderly,Medicine Social Care,35908,49849,63791,"Manipulation with biological material such as blood, urine, etc. Positioning of patients. Helping the patients with hygiene and other ancillary work according to the instructions of the nurse.",paylab.com
Cashier,Economy Finance Accountancy,31604,49275,66947,"Receiving and issuing cash in local and foreign currency, valuables etc. Issuing cash receipt and cash expenditure vouchers. Keeping records of the cash received and issued.",paylab.com
Social counselor,Medicine Social Care,20294,45363,70433,"Providing guidance and support to individuals facing social, emotional, and psychological challenges. Conducting assessments to determine clients' needs and developing personalized intervention plans. Facilitating individual and group counseling sessions to promote personal growth and social adjustment.",paylab.com
Nursery School Teacher Assistant,Education Science Research,24564,38732,52900,"Assisting the lead nursery school teacher in implementing educational programs and activities for young children. Supporting the development and implementation of lesson plans that align with curriculum standards. Supervising and engaging with children during playtime, ensuring a safe and nurturing environment.",paylab.com
HR Assistant,Human Resources,21657,35725,49794,"Administrative support of the HR department Organizing appointments and job interviews CV selection, candidate pre-selection over the phone",paylab.com
